"","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ENSG00000258919",4.21842609720472,-5.95622537943445,1.91753228406882e-07,2.91296702592138e-06,6.4097478275406,"AL049836.1"
"ENSG00000085276",5.83328957452926,-5.95552177635855,1.92254240885414e-07,2.91972430019316e-06,6.35324149715465,"MECOM"
"ENSG00000233521",4.45305946287394,-5.95490086001059,1.92697453928119e-07,2.92560009391627e-06,6.38262167876103,"LINC01638"
"ENSG00000153551",5.81195927471962,-5.95442799476845,1.93035667476241e-07,2.92987878120381e-06,6.37520513093986,"CMTM7"
"ENSG00000260877",4.63475030623748,-5.95418892758242,1.93206882765209e-07,2.9316210242943e-06,7.02693374380994,"AP005233.2"
"ENSG00000107968",5.58717708807989,-5.95360843305398,1.93623249275558e-07,2.93649364656486e-06,6.5141328463144,"MAP3K8"
"ENSG00000186812",5.74070558552845,5.95351503722161,1.9369032164731e-07,2.93649364656486e-06,5.81712280520108,"ZNF397"
"ENSG00000235772",4.45249706129626,5.95350494138738,1.93697573368321e-07,2.93649364656486e-06,6.89609191758822,"AP001625.2"
"ENSG00000140575",6.16732517583199,-5.95277358737796,1.94223613921343e-07,2.94360957925013e-06,5.37104088302706,"IQGAP1"
"ENSG00000070081",5.95284821882509,5.95002662915811,1.9621211176179e-07,2.97287957260777e-06,5.29242161309705,"NUCB2"
"ENSG00000273783",4.65870802721448,5.94991582724241,1.96292742797419e-07,2.97323415722948e-06,6.87208121302115,"AL136040.1"
"ENSG00000223652",4.37152747043955,-5.94977546346893,1.96394933342239e-07,2.97391500054289e-06,6.38924312965065,"AC106786.1"
"ENSG00000196550",4.64307261691608,-5.94901493761968,1.96949545897367e-07,2.98144426210718e-06,6.91277204647061,"FAM72A"
"ENSG00000123600",5.62075818506015,-5.94885967708287,1.97062960365367e-07,2.98229217676152e-06,6.29358428033928,"METTL8"
"ENSG00000162621",2.4879532791424,5.94824216957217,1.97514678168988e-07,2.98825788864054e-06,6.9171015831947,"LRRC53"
"ENSG00000187889",4.60359554655975,5.94767844615811,1.97927949137619e-07,2.99363862285178e-06,6.66901746453469,"FYB2"
"ENSG00000001167",5.76530624122688,-5.94737602930276,1.98150007355284e-07,2.99612499480106e-06,6.07433272285693,"NFYA"
"ENSG00000227945",3.17172256340941,-5.94710970414419,1.98345768948797e-07,2.99821241779628e-06,6.71459455785887,"AL590006.1"
"ENSG00000198788",4.23148417272892,-5.94609318827777,1.99094722203324e-07,3.00865828893295e-06,6.8328201985433,"MUC2"
"ENSG00000255221",3.11821902111508,-5.94429026109009,2.00430001123883e-07,3.0279558820559e-06,6.83710117294519,"CARD17"
"ENSG00000260410",2.66319306578079,5.94374790449587,2.00833415891242e-07,3.03316839802721e-06,6.77737450196956,"AC040169.2"
"ENSG00000182541",5.926812345818,-5.94342527036951,2.0107377921072e-07,3.03591604914668e-06,5.783061004356,"LIMK2"
"ENSG00000160226",5.72858748931375,5.94264006562943,2.01659952467394e-07,3.04388180432625e-06,5.71612783126577,"CFAP410"
"ENSG00000235214",3.26392256581431,5.94235645238595,2.01872092849165e-07,3.046198870719e-06,6.92489749090276,"FAM83C-AS1"
"ENSG00000067842",3.87046244085424,5.94105974347359,2.02844845038382e-07,3.05926000817394e-06,6.97279915110784,"ATP2B3"
"ENSG00000123472",5.81929430636189,5.94104567457708,2.02855424570952e-07,3.05926000817394e-06,5.62472855557186,"ATPAF1"
"ENSG00000171132",5.64440787922134,5.94075835289526,2.03071604629763e-07,3.06163149940067e-06,5.87201768509219,"PRKCE"
"ENSG00000077150",5.94706984041255,-5.94007606567618,2.03585872182208e-07,3.06849445992296e-06,5.91429113587931,"NFKB2"
"ENSG00000168152",5.35278662317448,5.93948028554261,2.04035992721655e-07,3.07438688105013e-06,6.31350788927808,"THAP9"
"ENSG00000243607",2.37291830876112,5.93934740746088,2.04136518661291e-07,3.07500976820201e-06,6.72517030787047,"RPL35AP26"
"ENSG00000257122",5.27527048285167,-5.9383239612311,2.04912432932443e-07,3.08513615946748e-06,6.69660209410957,"RRN3P3"
"ENSG00000139116",5.77180697173237,5.93830408625033,2.04927529859535e-07,3.08513615946748e-06,5.61873528185968,"KIF21A"
"ENSG00000277142",4.84496256495585,5.93811766002616,2.05069191947968e-07,3.08637450708711e-06,6.71313217920547,"LINC00235"
"ENSG00000138663",5.80450488415812,5.93527306580039,2.07242843550262e-07,3.11818554700559e-06,5.63147966870035,"COPS4"
"ENSG00000224157",3.26065157756851,5.93518609693508,2.07309658386603e-07,3.11828777991244e-06,6.92206805285228,"HCG14"
"ENSG00000175611",5.25126943536279,5.93506429654562,2.07403268877792e-07,3.11879288893685e-06,6.34926732164535,"LINC00476"
"ENSG00000106608",5.90930573066538,5.9344031784067,2.07912107794583e-07,3.1255398288078e-06,5.45273278181046,"URGCP"
"ENSG00000258352",4.25387921774162,-5.93280997295831,2.0914343637299e-07,3.14256870973674e-06,6.49602303825795,"AC119044.1"
"ENSG00000103034",5.62239584041459,5.93278105781679,2.09165850526806e-07,3.14256870973674e-06,5.67924713460653,"NDRG4"
"ENSG00000071246",5.79535646638997,5.93244742317196,2.09424646628373e-07,3.14467470834971e-06,5.59341825099568,"VASH1"
"ENSG00000259847",3.74032808314342,-5.93236751369523,2.09486678531794e-07,3.14467470834971e-06,6.42689106491796,"LINC02126"
"ENSG00000109805",5.42411686852428,-5.93236631703974,2.09487607606697e-07,3.14467470834971e-06,6.7723696553007,"NCAPG"
"ENSG00000213406",4.42833499420432,-5.93021949726209,2.11160984107137e-07,3.16841258892271e-06,6.74493586621987,"ANXA2P1"
"ENSG00000073969",5.87482292673444,5.93018125204483,2.11190914952445e-07,3.16841258892271e-06,5.48653423904313,"NSF"
"ENSG00000110218",5.73364109559175,-5.93006441930168,2.11282374755486e-07,3.16886965878941e-06,6.13006804269669,"PANX1"
"ENSG00000114790",5.43652013563612,5.92918217590269,2.11974288694099e-07,3.17831194144019e-06,6.0390922450182,"ARHGEF26"
"ENSG00000132603",5.765066828424,-5.92910581200757,2.12034283963346e-07,3.17831194144019e-06,6.05153327321909,"NIP7"
"ENSG00000166803",5.50021070671072,-5.92902450277878,2.12098183054159e-07,3.17835275523385e-06,6.69234212467885,"PCLAF"
"ENSG00000276234",5.67068056333215,5.92842129652156,2.12572826343912e-07,3.18454689154314e-06,5.8764696894373,"TADA2A"
"ENSG00000170085",5.63313454321634,5.9272465219542,2.13500245305047e-07,3.19751851962479e-06,5.86276237198175,"SIMC1"
"ENSG00000204711",3.89267492902438,5.92593457931385,2.14540696898844e-07,3.21217503362609e-06,6.89041400261117,"C9orf135"
"ENSG00000280088",5.43704574379303,5.92567501152838,2.14747145595862e-07,3.21433972984368e-06,6.14407552621021,"AC126474.2"
"ENSG00000139988",4.96960279819994,5.92519101172638,2.15132624170073e-07,3.21918213022235e-06,6.41581625555848,"RDH12"
"ENSG00000169067",4.32416077654816,-5.92401305251315,2.16073673680725e-07,3.23143171193624e-06,6.32650410254279,"ACTBL2"
"ENSG00000268047",3.8716996185067,5.9240105973057,2.16075639359174e-07,3.23143171193624e-06,6.9271492100702,"AC018766.1"
"ENSG00000083720",5.76472874185973,5.92361905715091,2.16389339832812e-07,3.23519187386299e-06,5.61639825640721,"OXCT1"
"ENSG00000213171",4.44315188732947,5.92312483488729,2.16785954101697e-07,3.24018914252002e-06,6.75496483426416,"LINGO4"
"ENSG00000233250",3.96255070753214,5.92264340142976,2.17172998857727e-07,3.24504054721149e-06,6.92399220502102,"AC233728.1"
"ENSG00000220848",5.04457507691496,5.92143646014164,2.18146326826566e-07,3.25864699940984e-06,6.54007898883404,"RPS18P9"
"ENSG00000171631",5.33296885746493,-5.92118500719381,2.18349653177612e-07,3.25989900833711e-06,6.83651368066833,"P2RY6"
"ENSG00000232412",3.85212446983915,5.92117761567416,2.18355632848542e-07,3.25989900833711e-06,6.91096123721131,"AL121601.1"
"ENSG00000258331",3.302175529228,-5.92051033734459,2.18896124814313e-07,3.26609111677278e-06,6.81048853278837,"LINC02461"
"ENSG00000229672",2.32620756097839,-5.91903091966311,2.20099184119454e-07,3.28309876880336e-06,6.88800112444642,"AL450322.2"
"ENSG00000236471",2.90475491535579,5.9185064443615,2.20527259591644e-07,3.28853996694153e-06,6.73579738690388,"AF127577.5"
"ENSG00000141873",5.70797497670765,5.91756818037788,2.21295130185028e-07,3.29904367105681e-06,5.73330955284365,"SLC39A3"
"ENSG00000243775",2.36297650931076,-5.91724313119024,2.21561767067901e-07,3.30207115497583e-06,6.88165680738736,"OSTCP1"
"ENSG00000178597",4.07813679435726,-5.9146991401356,2.2365963500831e-07,3.33173588248438e-06,6.89368659677287,"PSAPL1"
"ENSG00000124233",3.22642681682219,-5.91467400221667,2.23680462680554e-07,3.33173588248438e-06,6.86406803703597,"SEMG1"
"ENSG00000128250",2.18809807837498,5.91343844982658,2.24706537582044e-07,3.34606003254156e-06,6.73672333513979,"RFPL1"
"ENSG00000275091",2.91247536803096,5.912510421234,2.25480296603112e-07,3.35661986524874e-06,6.75350444644871,"AC022098.4"
"ENSG00000226578",4.2494878333421,5.91084459216703,2.26875845906068e-07,3.37642729825376e-06,6.85699986151027,"AL132657.1"
"ENSG00000170465",4.18080595401459,-5.90998814745995,2.27596664997424e-07,3.38618474606992e-06,6.58947464746013,"KRT6C"
"ENSG00000263164",4.14021539559626,5.90873595554832,2.28654652653982e-07,3.40095156712997e-06,6.85589418992471,"AC087500.2"
"ENSG00000244468",2.90862762801466,-5.90792114709656,2.29345710304926e-07,3.41005911241216e-06,6.81803908423036,"AC093001.1"
"ENSG00000118520",4.12833510314658,5.90785930042368,2.29398248409757e-07,3.41005911241216e-06,6.80300498030116,"ARG1"
"ENSG00000023572",5.46818967225371,-5.90771722061175,2.29518988958828e-07,3.41087801841159e-06,6.41278066840498,"GLRX2"
"ENSG00000251898",1.88717456762172,5.90656895430717,2.30497111406217e-07,3.42443435115773e-06,6.63098301095016,"SCARNA11"
"ENSG00000261250",2.5584511836201,-5.90112259653522,2.35193076217625e-07,3.49320213888236e-06,6.82853930448921,"AL160286.3"
"ENSG00000248719",2.78136292587307,-5.90066825705116,2.35589079756879e-07,3.49732170799764e-06,6.78411399424677,"AC021127.1"
"ENSG00000273139",3.74529630270749,5.90059917683636,2.35649348166162e-07,3.49732170799764e-06,6.84556920857704,"AC007663.3"
"ENSG00000089199",5.93774801271005,5.90057277181293,2.35672389030676e-07,3.49732170799764e-06,4.72443413593962,"CHGB"
"ENSG00000235118",2.05487483080473,5.89695720779531,2.38848505089299e-07,3.54344238532537e-06,6.68348321231518,"FAM237A"
"ENSG00000176994",5.79706190086148,5.89638615465509,2.39354018717592e-07,3.54992825819405e-06,5.47480857184197,"SMCR8"
"ENSG00000168040",5.59015327671838,-5.89620914286059,2.39510930329389e-07,3.55124168788044e-06,6.17475338263302,"FADD"
"ENSG00000113520",3.4065737370234,5.89515083967559,2.40451191342994e-07,3.56416581883992e-06,6.81242041821798,"IL4"
"ENSG00000274026",4.59959599750674,5.89442218376172,2.41100701230545e-07,3.57277405354585e-06,6.66996534360463,"FAM27E3"
"ENSG00000221716",3.93333466717763,5.8943280408875,2.41184745239577e-07,3.57300035762104e-06,6.8235295273978,"SNORA11"
"ENSG00000137804",5.65686347542036,-5.89417808922778,2.41318671346585e-07,3.57396529393971e-06,6.34026794083042,"NUSAP1"
"ENSG00000230368",2.39346435243123,5.89400299239102,2.41475148697057e-07,3.57526357235876e-06,6.57928049683892,"FAM41C"
"ENSG00000135631",5.90398131666545,-5.89383706455771,2.41623524942518e-07,3.57644120081584e-06,5.65752250238367,"RAB11FIP5"
"ENSG00000123496",4.70852413047826,5.89191255922859,2.43351080935955e-07,3.60098606065126e-06,6.40102194685504,"IL13RA2"
"ENSG00000229180",5.54042060463179,5.8907108926417,2.44435979813937e-07,3.61600993600606e-06,5.8590684655048,"AC006001.3"
"ENSG00000275265",2.47080017327029,5.89052081102923,2.44608029851854e-07,3.6169217894258e-06,6.51340006451327,"AC127002.2"
"ENSG00000250448",1.91266538258462,5.89048897778327,2.44636855064908e-07,3.6169217894258e-06,6.54276854037561,"AC092335.1"
"ENSG00000107014",4.13390131146165,5.88971857978978,2.45335483956492e-07,3.62621898534156e-06,6.7458665150562,"RLN2"
"ENSG00000280042",3.63966436471536,-5.8895604949918,2.45479086349981e-07,3.62730957116806e-06,6.33130092166826,"AC022336.3"
"ENSG00000221955",5.71867890310632,-5.88930693192487,2.45709594237726e-07,3.62968332642218e-06,6.13714335935842,"SLC12A8"
"ENSG00000146112",5.9800170682795,-5.88763186095717,2.47237763200287e-07,3.65121965585779e-06,5.70393211449254,"PPP1R18"
"ENSG00000196476",5.55217965001705,5.88561916393025,2.49086422931151e-07,3.67747542397414e-06,5.85398915107314,"C20orf96"
"ENSG00000260372",3.71381608642035,5.88479576380581,2.49846661078558e-07,3.68765154252142e-06,6.78518206839009,"AQP4-AS1"
"ENSG00000221926",5.7091936968048,-5.88446658532531,2.50151232283593e-07,3.69109830220443e-06,6.16285346437689,"TRIM16"
"ENSG00000140463",5.69432611692525,5.88411959478427,2.50472682752604e-07,3.69479209532334e-06,5.68216003754857,"BBS4"
"ENSG00000254308",1.76709356338614,5.88327532418911,2.51256523526418e-07,3.7053027031767e-06,6.36096328117158,"IGLVIV-59"
"ENSG00000141424",5.92637101614018,5.88264592531485,2.51842454938896e-07,3.71288958680347e-06,5.13635016952841,"SLC39A6"
"ENSG00000174718",5.91999721189736,-5.88256047370806,2.51922109523597e-07,3.7130102916848e-06,5.68324160098107,"RESF1"
"ENSG00000211647",2.94567199329027,-5.88156365796407,2.52853149540969e-07,3.7256757037015e-06,6.73078550640872,"IGLV5-48"
"ENSG00000275476",4.19125780161224,5.88128990070371,2.53109439526376e-07,3.72839461898309e-06,6.7293968010534,"AC009318.4"
"ENSG00000166402",5.4770443961587,5.88038929391802,2.5395440201081e-07,3.73978089627824e-06,5.79702128655308,"TUB"
"ENSG00000138434",6.0874946844573,-5.87899339543538,2.55269586639265e-07,3.75804654579936e-06,5.34049890114346,"ITPRID2"
"ENSG00000275734",4.29194291535304,5.87891947429848,2.55339421539665e-07,3.75804654579936e-06,6.72506871621951,"AC010538.1"
