"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ENSG00000236699",-0.242581239166904,5.50068270274838,-2.54463522117792,0.0137882166650139,0.0435525905042637,-4.21743948736268,"ARHGEF38"
"ENSG00000255197",-0.331470080090114,4.8258222341986,-2.54436731694466,0.0137976537010372,0.0435797495521726,-3.488344843406,"AC090559.1"
"ENSG00000235045",-0.782171778729883,2.66280043598348,-2.54335811298014,0.0138332559613261,0.0436789218557637,-2.98098968613944,"RPL7P8"
"ENSG00000229124",-0.290687917954375,5.13843373333943,-2.54313553897926,0.0138411190388037,0.0437010938038289,-3.7952966334686,"VIM-AS1"
"ENSG00000234494",-0.134959575791584,5.0736235389958,-2.54297099533679,0.0138469346306919,0.043711486316865,-3.83365335240739,"SP2-AS1"
"ENSG00000165006",-0.0506133516429745,5.9495364769474,-2.54245313510101,0.0138652522308885,0.0437613337223487,-5.15795877333301,"UBAP1"
"ENSG00000143318",-0.736235370350958,4.14775975429035,-2.54211955025641,0.0138770633335318,0.0437959511863875,-3.03806236745037,"CASQ1"
"ENSG00000101109",-0.0594503905275676,5.88559550311761,-2.54189021642831,0.0138851885561803,0.0438189325303887,-5.02499347308524,"STK4"
"ENSG00000233902",-0.63368468688444,2.24763827994873,-2.54183089453501,0.0138872910138917,0.0438203022187569,-3.07232136379388,"AL645933.1"
"ENSG00000162482",-0.373075550934214,5.62299710046948,-2.54113436868526,0.01391199855418,0.0438902096723262,-4.23407917176456,"AKR7A3"
"ENSG00000170832",-0.0698935575515289,5.77518692089952,-2.5408469758258,0.0139222047234194,0.0439170749362799,-4.81105875953702,"USP32"
"ENSG00000254143",-0.696188207749183,2.32519846139102,-2.54055304427981,0.0139326501252092,0.0439446882348908,-3.07306360920281,"AC022733.2"
"ENSG00000253755",-1.23116179718395,5.31712337762776,-2.54025219550248,0.0139433487041718,0.0439677554367895,-3.33599158271638,"IGHGP"
"ENSG00000133138",-0.112925605036224,5.66915095252042,-2.53989934340532,0.0139559060837729,0.0439966714002632,-4.58937964854332,"TBC1D8B"
